Fiscal_Year,Accounting_Period,SortOrder,MakeBold,LevelNum,nodedesc,HSortOrder,NdId,NdDesc,BaseAmount,ShowBox,Show_Vertical_Line,Show_Top_Line,Show_Bottom_Line,ND_Header,ND_SortOrder
,,0,N,1,,1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,1,Y,1,100002 - Indirect Assets (L1),1,23077,Other ICG [L5],6060003.527,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,2,Y,5,110001 - Cash and Due from Banks (L2),1,23077,Other ICG [L5],5582727230,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,3,Y,5,115001 - Deposits with Banks (L2),1,23077,Other ICG [L5],18527585568,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,4,Y,5,120001 - Federal Funds Sold and Resales (L2),1,23077,Other ICG [L5],21252864617,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,5,Y,5,125001 - Brokerage Receivables (L2),1,23077,Other ICG [L5],7996001613,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,6,Y,5,130001 - Trading Account Assets (L2),1,23077,Other ICG [L5],-1500433989,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,7,N,10,135000 - Investments - Available-for-Sale (AFS) (L3),1,23077,Other ICG [L5],270799.076,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,8,N,10,135010 - Investments - Non-Marketable Securities (L3),1,23077,Other ICG [L5],28014498.87,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,9,N,10,135020 - Investments - Held-to-Maturity (HTM) (L3),1,23077,Other ICG [L5],1.11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,10,Y,5,135001 - Investments (L2),1,23077,Other ICG [L5],28285299.05,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,11,N,10,140000 - Consumer Loans & Leases Net of Unearned (L3),1,23077,Other ICG [L5],264322985.2,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,12,N,10,141000 - Commercial Loans & Leases Net of Unearned (L3),1,23077,Other ICG [L5],1169755675,N,Y,N,N,Institutional Clients Group [L4],1
,,13,N,10,142000 - Cross Regional Loans - Interest Earning (L3),1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,14,N,10,160020 - Cross Regional Loans - Non-Interest Earning (L3),1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,15,Y,5,140001 - Total Loans & Leases Net of Unearned (L2),1,23077,Other ICG [L5],1434078660,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,16,Y,5,145001 - Allowance for Loan Losses (L2),1,23077,Other ICG [L5],-3128473.379,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,17,Y,5,150001 - Goodwill (L2),1,23077,Other ICG [L5],-14.736,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,18,Y,5,155001 - Intangible Assets (L2),1,23077,Other ICG [L5],256802213.5,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,19,Y,5,156001 - Mortgage Servicing Rights (L2),1,23077,Other ICG [L5],-0.01,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,20,N,10,160040 - Property Plant and Equipment Net (L3),1,23077,Other ICG [L5],291722978.7,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,21,N,10,160030 - Interest & Fees Receivable from Loans (L3),1,23077,Other ICG [L5],429499762.4,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,22,N,10,160010 - Other Assets (L3),1,23077,Other ICG [L5],1.54E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,23,Y,5,160001 - Other Assets (L2),1,23077,Other ICG [L5],1.54E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,24,Y,1,100001 - Direct Assets (L1),1,23077,Other ICG [L5],2.08E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,25,Y,1,100000 - Assets,1,23077,Other ICG [L5],2.08E+11,N,Y,N,N,Institutional Clients Group [L4],1
,,26,N,1,,1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,27,Y,5,210001 - Deposits (L2),1,23077,Other ICG [L5],1774815433,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,28,Y,5,240001 - Trading Account Liabilities (L2),1,23077,Other ICG [L5],57725544.51,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,29,Y,5,250001 - Purchased Funds & Other Borrowings (L2),1,23077,Other ICG [L5],1.37E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,30,Y,5,260001 - Long-Term Debt (L2),1,23077,Other ICG [L5],90177237434,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,31,N,10,270000 - Other Liabilities (L3),1,23077,Other ICG [L5],5623694556,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,32,N,10,265000 - Accrued Taxes & Other Expenses (L3),1,23077,Other ICG [L5],3865236902,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,33,Y,5,270001 - Other Liabilities (L2),1,23077,Other ICG [L5],9488931458,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,34,Y,5,280001 - Net Intersegment Funding - Items in Transit (IIT) (L2),1,23077,Other ICG [L5],24266122816,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,35,Y,1,200001 - Liabilities (L1),1,23077,Other ICG [L5],2.62E+11,N,Y,N,N,Institutional Clients Group [L4],1
,,36,N,1,,1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,37,N,10,311001 - Preferred Stock (L3),1,23077,Other ICG [L5],2153336415,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,38,N,10,320000 - Common Stock (L3),1,23077,Other ICG [L5],17415900186,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,39,N,10,331001 - Additional Paid-In Capital (APIC) (L3),1,23077,Other ICG [L5],1.34E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,40,N,10,340000 - Retained Earnings (L3),1,23077,Other ICG [L5],48269450140,N,Y,N,N,Institutional Clients Group [L4],1
,,41,N,10,350000 - Treasury Stock (L3),1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,42,N,10,360001 - Accumulated Other Comprehensive Income/Loss (L3),1,23077,Other ICG [L5],112736652,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,43,Y,5,310001 - group's Stockholders Equity (L2),1,23077,Other ICG [L5],2.02E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,44,Y,5,380001 - Non-Controlling Interest (L2),1,23077,Other ICG [L5],34415009.86,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,45,Y,1,300001 - Total Equity (L1),1,23077,Other ICG [L5],2.02E+11,N,Y,N,N,Institutional Clients Group [L4],1
,,46,N,1,,1,23077,Other ICG [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,47,Y,5,370001 - Management Capital (L1),1,23077,Other ICG [L5],-2.57E+11,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,48,Y,1,200000 - Total Liabilities & Equity,1,23077,Other ICG [L5],2.08E+11,N,Y,N,N,Institutional Clients Group [L4],1
,,49,N,1,,1,23077,Other ICG [L5],0,Y,N,N,N,Institutional Clients Group [L4],1
,,50.1,N,5,Average Loans,1,23077,Other ICG [L5],,N,Y,Y,N,Institutional Clients Group [L4],1
,,50.2,N,5,Average Deposits,1,23077,Other ICG [L5],,N,Y,N,Y,Institutional Clients Group [L4],1
2015,7,51,N,10,940184 - Total 90+ Days Past Due (90+ DPD) (L2),1,23077,Other ICG [L5],28179303.78,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,52,N,10,940200 - Total 30-89 Days Past Due (30-89 DPD) (L2),1,23077,Other ICG [L5],2142696.038,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,53,Y,5,940210 - Total Past Due Loans (L1),1,23077,Other ICG [L5],30321999.82,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,54,Y,5,720000 - Servicing Assets Securitized (L1),1,23077,Other ICG [L5],0.41,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,55,Y,5,739000 - Commitments and Contingencies Accounts,1,23077,Other ICG [L5],39778049769,N,Y,N,N,Institutional Clients Group [L4],1
,,56,Y,5,760000 - Assets Under Management (L1),1,23077,Other ICG [L5],0,N,Y,N,Y,Institutional Clients Group [L4],1
,,0,N,1,,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,1,Y,1,100002 - Indirect Assets (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,2,Y,5,110001 - Cash and Due from Banks (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,3,Y,5,115001 - Deposits with Banks (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,4,Y,5,120001 - Federal Funds Sold and Resales (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,5,Y,5,125001 - Brokerage Receivables (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,6,Y,5,130001 - Trading Account Assets (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,7,N,10,135000 - Investments - Available-for-Sale (AFS) (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,8,N,10,135010 - Investments - Non-Marketable Securities (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,9,N,10,135020 - Investments - Held-to-Maturity (HTM) (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,10,Y,5,135001 - Investments (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,11,N,10,140000 - Consumer Loans & Leases Net of Unearned (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,12,N,10,141000 - Commercial Loans & Leases Net of Unearned (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,13,N,10,142000 - Cross Regional Loans - Interest Earning (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,14,N,10,160020 - Cross Regional Loans - Non-Interest Earning (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,15,Y,5,140001 - Total Loans & Leases Net of Unearned (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,16,Y,5,145001 - Allowance for Loan Losses (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,17,Y,5,150001 - Goodwill (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,18,Y,5,155001 - Intangible Assets (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,19,Y,5,156001 - Mortgage Servicing Rights (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,20,N,10,160040 - Property Plant and Equipment Net (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,21,N,10,160030 - Interest & Fees Receivable from Loans (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,22,N,10,160010 - Other Assets (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,23,Y,5,160001 - Other Assets (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,24,Y,1,100001 - Direct Assets (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,25,Y,1,100000 - Assets,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,26,N,1,,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,27,Y,5,210001 - Deposits (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,28,Y,5,240001 - Trading Account Liabilities (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,29,Y,5,250001 - Purchased Funds & Other Borrowings (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,30,Y,5,260001 - Long-Term Debt (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,31,N,10,270000 - Other Liabilities (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,32,N,10,265000 - Accrued Taxes & Other Expenses (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,33,Y,5,270001 - Other Liabilities (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,34,Y,5,280001 - Net Intersegment Funding - Items in Transit (IIT) (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,35,Y,1,200001 - Liabilities (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,36,N,1,,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,37,N,10,311001 - Preferred Stock (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,38,N,10,320000 - Common Stock (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,39,N,10,331001 - Additional Paid-In Capital (APIC) (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,40,N,10,340000 - Retained Earnings (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,41,N,10,350000 - Treasury Stock (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,42,N,10,360001 - Accumulated Other Comprehensive Income/Loss (L3),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,43,Y,5,310001 - group's Stockholders Equity (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,44,Y,5,380001 - Non-Controlling Interest (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,45,Y,1,300001 - Total Equity (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,46,N,1,,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,47,Y,5,370001 - Management Capital (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,48,Y,1,200000 - Total Liabilities & Equity,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,49,N,1,,2,24550,CCB O&T [L6],0,Y,N,N,N,Institutional Clients Group [L4],1
,,50.1,N,5,Average Loans,2,24550,CCB O&T [L6],,N,Y,Y,N,Institutional Clients Group [L4],1
,,50.2,N,5,Average Deposits,2,24550,CCB O&T [L6],,N,Y,N,Y,Institutional Clients Group [L4],1
,,51,N,10,940184 - Total 90+ Days Past Due (90+ DPD) (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,52,N,10,940200 - Total 30-89 Days Past Due (30-89 DPD) (L2),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,53,Y,5,940210 - Total Past Due Loans (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,54,Y,5,720000 - Servicing Assets Securitized (L1),2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,55,Y,5,739000 - Commitments and Contingencies Accounts,2,24550,CCB O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,56,Y,5,760000 - Assets Under Management (L1),2,24550,CCB O&T [L6],0,N,Y,N,Y,Institutional Clients Group [L4],1
,,0,N,1,,3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,1,Y,1,100002 - Indirect Assets (L1),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,2,Y,5,110001 - Cash and Due from Banks (L2),3,23291,ICG O&T [L6],-719095,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,3,Y,5,115001 - Deposits with Banks (L2),3,23291,ICG O&T [L6],163573201,N,Y,N,N,Institutional Clients Group [L4],1
,,4,Y,5,120001 - Federal Funds Sold and Resales (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,5,Y,5,125001 - Brokerage Receivables (L2),3,23291,ICG O&T [L6],-1135510,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,6,Y,5,130001 - Trading Account Assets (L2),3,23291,ICG O&T [L6],12370,N,Y,N,N,Institutional Clients Group [L4],1
,,7,N,10,135000 - Investments - Available-for-Sale (AFS) (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,8,N,10,135010 - Investments - Non-Marketable Securities (L3),3,23291,ICG O&T [L6],110880,N,Y,N,N,Institutional Clients Group [L4],1
,,9,N,10,135020 - Investments - Held-to-Maturity (HTM) (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,10,Y,5,135001 - Investments (L2),3,23291,ICG O&T [L6],110880,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,11,N,10,140000 - Consumer Loans & Leases Net of Unearned (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,12,N,10,141000 - Commercial Loans & Leases Net of Unearned (L3),3,23291,ICG O&T [L6],-132481,N,Y,N,N,Institutional Clients Group [L4],1
,,13,N,10,142000 - Cross Regional Loans - Interest Earning (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,14,N,10,160020 - Cross Regional Loans - Non-Interest Earning (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,15,Y,5,140001 - Total Loans & Leases Net of Unearned (L2),3,23291,ICG O&T [L6],-132481,N,Y,N,N,Institutional Clients Group [L4],1
,,16,Y,5,145001 - Allowance for Loan Losses (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,17,Y,5,150001 - Goodwill (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,18,Y,5,155001 - Intangible Assets (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,19,Y,5,156001 - Mortgage Servicing Rights (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,20,N,10,160040 - Property Plant and Equipment Net (L3),3,23291,ICG O&T [L6],763387746,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,21,N,10,160030 - Interest & Fees Receivable from Loans (L3),3,23291,ICG O&T [L6],955246,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,22,N,10,160010 - Other Assets (L3),3,23291,ICG O&T [L6],3720398671,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,23,Y,5,160001 - Other Assets (L2),3,23291,ICG O&T [L6],4484741663,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,24,Y,1,100001 - Direct Assets (L1),3,23291,ICG O&T [L6],4646451028,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,25,Y,1,100000 - Assets,3,23291,ICG O&T [L6],4646451028,N,Y,N,N,Institutional Clients Group [L4],1
,,26,N,1,,3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,27,Y,5,210001 - Deposits (L2),3,23291,ICG O&T [L6],20855993,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,28,Y,5,240001 - Trading Account Liabilities (L2),3,23291,ICG O&T [L6],-54831,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,29,Y,5,250001 - Purchased Funds & Other Borrowings (L2),3,23291,ICG O&T [L6],652629,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,30,Y,5,260001 - Long-Term Debt (L2),3,23291,ICG O&T [L6],19796,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,31,N,10,270000 - Other Liabilities (L3),3,23291,ICG O&T [L6],132724742,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,32,N,10,265000 - Accrued Taxes & Other Expenses (L3),3,23291,ICG O&T [L6],258437850,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,33,Y,5,270001 - Other Liabilities (L2),3,23291,ICG O&T [L6],391162592,N,Y,N,N,Institutional Clients Group [L4],1
